,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Всего по экономике,2223,3240,4360,5499,6740,8555,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709,39167,43724,47867,51344,57244,65338,73709
"Рыболовство, рыбоводство",2846,3839,5031,5445,7085,10234,12311,14797,19499,22914,23782,25940,29201,32437,37062,46676,54927,68032,75766,88604,94983,101547,121726,139520
Добыча полезных ископаемых,5940,9099,11081,13912,16842,19727,23145,28108,33206,35363,39895,45132,50401,54161,58959,63695,69936,74474,83178,89344,95359,103474,118376,130826
"Добыча полезных ископаемых, кроме топливно-энергетических",4000,5387,7035,9396,10877,13176,15364,19093,22937,24064,28306,33580,38267,41754,44441,48724,54513,61122,70721,78520,88154,96365,108317,119578
Обрабатывающие производства,2365,3447,4439,5603,6849,8421,10199,12879,16050,16583,19078,21781,24512,27045,29511,31910,34592,38502,40722,43855,46510,52410,60439,71273
Производство кокса и нефтепродуктов,4916,7012,9625,11879,13729,19397,22320,28565,34913,37964,41563,48463,59195,64760,75517,81605,88194,95957,87591,81685,82106,87214,97720,109541
Химическое производство,2755,3902,4900,6155,7683,9928,11599,14616,18220,19429,22229,25583,28901,32514,36218,39342,43318,45894,49159,54332,57339,63702,75283,87531
Производство резиновых и пластмассовых изделий,2140,3032,3957,4951,5957,6879,8768,11083,13464,13851,15766,17713,19758,21599,23270,25006,27565,30622,33581,35623,39662,44817,51471,61423
Строительство,2640,3859,4807,6177,7305,9043,10869,14333,18574,18122,21172,23682,25951,27701,29354,29960,32332,33678,38518,42630,44738,51944,60850,68944
Гостиницы и рестораны,1640,2404,3039,3967,4737,6033,7522,9339,11536,12470,13466,14693,16631,18304,19759,20626,22041,23971,26241,28191,27411,33225,37572,43192
"Операции с недвижимым имуществом, аренда и предоставление услуг",2457,3546,4677,6196,7795,10237,12763,16642,21275,22610,25623,28239,30926,33846,37559,39815,43737,30208,33101,36859,37628,43620,48531,54612
Государственное управление и обеспечение военной безопасности; социальное страхование,2712,3755,5200,6914,7899,10959,13477,16896,21344,23960,25121,27756,35701,40449,42659,41916,43611,43500,47803,50991,54496,58620,63505,73861
Образование,1240,1833,2927,3387,4203,5430,6983,8778,11317,13294,14075,15809,18995,23458,25862,26928,28088,30258,34361,37072,39563,43391,48400,54263
Здравоохранение и предоставление социальных услуг,1333,1960,3141,3663,4612,5906,8060,10037,13049,14820,15724,17545,20641,24439,27068,28179,29742,31980,40027,43122,49532,50690,55420,61486